body,documents,type,id,gold_exact_answer,gold_ideal_answer,retrieved_pmids,retrieved_docids,pred_exact_answer,pred_ideal_answer,raw_llm,sources,answer_em,answer_f1,contexts
What is the inheritance pattern of Li–Fraumeni syndrome?,"['7981072', '2190528', '9302689', '16772121', '22672556', '20075382']",factoid,52bf208003868f1b06000019,[['Autosomal dominant']],['Li-Fraumeni syndrome shows autosomal dominant inheritance.'],"['16723886', '15530662', '21294676', '12483111', '3280983']","['16723886#0', '15530662#1', '21294676#2', '12483111#3', '3280983#4']",[],The document does not provide information about the inheritance pattern of Li–Fraumeni syndrome.,"```json
{
""exact_answer"": """",
""ideal_answer"": ""The document does not provide information about the inheritance pattern of Li–Fraumeni syndrome.""
}
```","[{'doc_id': '16723886#0', 'pmid': '16723886', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '15530662#1', 'pmid': '15530662', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '21294676#2', 'pmid': '21294676', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '12483111#3', 'pmid': '12483111', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '3280983#4', 'pmid': '3280983', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}]",0.0,0.0,"['Title: Single nucleotide polymorphisms of tissue inhibitor of metalloproteinase genes in familial moyamoya disease.', 'Title: Upregulation of amyloid precursor protein isoforms containing Kunitz protease inhibitor in dementia with Lewy bodies.', 'Title: Helicobacter pylori-induced tyrosine phosphorylation of IKKβ contributes to NF-κB activation.', 'Title: Role of neutrophil elastase in bone marrow failure syndromes: molecular genetic revival of the chalone hypothesis.', 'Title: Methyl-directed DNA mismatch repair in Escherichia coli.']"
What is the main role of Ctf4 in dna replication?,"['24255107', '21470422', '20381454', '20089864', '19805216', '19661920', '19496828', '17761813', '24805245', '15226378', '1448101', '9199353', '11287619', '16962805', '12455694', '23334284', '14742710', '19910927', '19430531', '20980819']",factoid,530cf22aa177c6630c000004,"[['Coordination of the progression of helicase and DNA polymerase alpha at the eukaryotic replication fork.', '']]","['Ctf4 coordinates the progression of helicase and DNA polymerase alpha.  Mcm10 and And-1/CTF4 recruit DNA polymerase alpha to chromatin for initiation of DNA replication. And-1/Ctf4 is therefore a new replication initiation factor that brings together the MCM2-7 helicase and the DNA pol alpha-primase complex, analogous to the linker between helicase and primase or helicase and polymerase that is seen in the bacterial replication machinery.', 'coupling MCM2-7 to replicative polymerases is an important feature of the regulation of chromosome replication in eukaryotes, and highlight a key role for Ctf4 in this processAnd-1/Ctf4 is therefore a new replication initiation factor that brings together the MCM2-7 helicase and the DNA pol alpha-primase complex, analogous to the linker between helicase and primase or helicase and polymerase that is seen in the bacterial replication machinery', 'coupling MCM2-7 to replicative polymerases is an important feature of the regulation of chromosome replication in eukaryotes, and highlight a key role for Ctf4 in this processAnd-1/Ctf4 is therefore a new replication initiation factor that brings together the MCM2-7 helicase and the DNA pol alpha-primase complex, analogous to the linker between helicase and primase or helicase and polymerase that is seen in the bacterial replication machinery']","['21666599', '22718819', '23212265', '24805245', '23108159']","['21666599#0', '22718819#1', '23212265#2', '24805245#3', '23108159#4']",[['A Ctf4 trimer couples the CMG helicase to DNA polymerase α in the eukaryotic replisome.']],"The document indicates that Ctf4 plays a crucial role in DNA replication by coupling the CMG helicase to DNA polymerase α within the eukaryotic replisome. This connection is essential for the efficient process of DNA replication. Specifically, Ctf4 facilitates the interaction between these two key components, enabling them to work together to unwind and replicate DNA.","```json
{
  ""exact_answer"": ""A Ctf4 trimer couples the CMG helicase to DNA polymerase α in the eukaryotic replisome."",
  ""ideal_answer"": ""The document indicates that Ctf4 plays a crucial role in DNA replication by coupling the CMG helicase to DNA polymerase α within the eukaryotic replisome. This connection is essential for the efficient process of DNA replication. Specifically, Ctf4 facilitates the interaction between these two key components, enabling them to work together to unwind and replicate DNA.""
}
```","[{'doc_id': '21666599#0', 'pmid': '21666599', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '22718819#1', 'pmid': '22718819', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '23212265#2', 'pmid': '23212265', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '24805245#3', 'pmid': '24805245', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '23108159#4', 'pmid': '23108159', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}]",0.0,0.0,"['Title: Modulation of Tcf3 repressor complex composition regulates cdx4 expression in zebrafish.', 'Title: Large ribosomal protein 4 increases efficiency of viral recoding sequences.', 'Title: PDCD4 expression in thyroid neoplasia.', 'Title: A Ctf4 trimer couples the CMG helicase to DNA polymerase α in the eukaryotic replisome.', 'Title: Expression of DUX4 in zebrafish development recapitulates facioscapulohumeral muscular dystrophy.']"
Which type of lung cancer is afatinib used for?,"['24086949', '23683257', '23664448', '18520300', '18408761', '22452896', '22071596', '21554040']",factoid,530cf4fe960c95ad0c00000b,"[['EGFR-mutant non small cell lung carcinoma', 'EGFR-mutant NSCLC']]","['Afatinib is a small molecule covalently binding and inhibiting the EGFR, HER2 and HER4 receptor tyrosine kinases. Trials showed promising efficacy in patients with EGFR-mutant NSCLC or enriched for clinical benefit from EGFR tyrosine kinase inhibitors gefitinib or erlotinib.', 'Afatinib is a novel irreversible inhibitor of the ErbB family members EGFR, tyrosine kinase-type cell surface receptors HER2 and HER4. It shows preclinical efficacy in NSCLC with common EGFR-activating mutations and the T790M mutation typically associated with EGFR TKI resistanceBIBW2992 is an irreversible EGFR TKI that also inhibits HER2 and vascular epidermal growth factor receptors']","['22519766', '23477519', '22715154', '24126619', '15737014']","['22519766#0', '23477519#1', '22715154#2', '24126619#3', '15737014#4']",[],The document does not provide information regarding the use of afatinib for any type of lung cancer.,"```json
{
""exact_answer"": """",
""ideal_answer"": ""The document does not provide information regarding the use of afatinib for any type of lung cancer.""
}
```","[{'doc_id': '22519766#0', 'pmid': '22519766', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '23477519#1', 'pmid': '23477519', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '22715154#2', 'pmid': '22715154', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '24126619#3', 'pmid': '24126619', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '15737014#4', 'pmid': '15737014', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}]",0.0,0.0,"['Title: Tyrosine kinase inhibitors in acute and chronic leukemias.', 'Title: Proteasome inhibitors in acute leukemia.', 'Title: DNA methylation of microRNA genes in multiple myeloma.', 'Title: Autophagy sensitivity of neuroendocrine lung tumor cells.', 'should help guide the search for more effective therapy against a specific subset of lung cancers.']"
What is the clinical indication of cardiac T1 mapping magnetic resonance?,"['24124732', '24043965', '24036385', '24011774', '23549230', '23498674', '23498672', '23408722', '22967246', '22720998', '22309452', '22279111', '19007595', '17659622', '12765114', '25424139', '22710483', '24931636', '24566951', '23564562', '24425501', '23272704', '24518490', '23403334', '24472162', '23280998', '22161952', '24903343', '25310419', '24576837', '23890156', '23643513', '17896383', '21974927']",factoid,530cf51d5610acba0c000001,"[['T1 mapping can quantitatively characterize myocardial tissue, i.e. fibrosis and edema.']]","['T1 mapping can quantitatively characterize myocardial tissue, in particular diffuse and interstitial fibrosis, edema in both overt and subclinical cardiophyopathies. However more research is required before a large-scale application for clinical decision-making can be recommended.']","['23280998', '23643513', '23408722', '23403334', '25424139']","['23280998#0', '23643513#1', '23408722#2', '23403334#3', '25424139#4']",[['myocardial characterization and quantification']],"Cardiac magnetic resonance T1 mapping is utilized for various clinical indications, including myocardial characterization and quantification.  Several studies demonstrate its application in assessing myocardial tissue properties, such as characterizing myocardial fibrosis and quantifying myocardial volumes. Specifically, T1 mapping is employed in evaluating conditions like subclinical cardiomyopathy, particularly in patients with systemic lupus erythematosus, as well as assessing left atrial myocardium. Furthermore, advanced MR imaging techniques utilizing T1 mapping are used to improve diagnostic accuracy in cardiovascular disease.","```json
{
""exact_answer"": ""myocardial characterization and quantification"",
""ideal_answer"": ""Cardiac magnetic resonance T1 mapping is utilized for various clinical indications, including myocardial characterization and quantification.  Several studies demonstrate its application in assessing myocardial tissue properties, such as characterizing myocardial fibrosis and quantifying myocardial volumes. Specifically, T1 mapping is employed in evaluating conditions like subclinical cardiomyopathy, particularly in patients with systemic lupus erythematosus, as well as assessing left atrial myocardium. Furthermore, advanced MR imaging techniques utilizing T1 mapping are used to improve diagnostic accuracy in cardiovascular disease.""
}
```","[{'doc_id': '23280998#0', 'pmid': '23280998', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '23643513#1', 'pmid': '23643513', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '23408722#2', 'pmid': '23408722', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '23403334#3', 'pmid': '23403334', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '25424139#4', 'pmid': '25424139', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}]",0.0,0.0,"['Title: Arrhythmia insensitive rapid cardiac T1 mapping pulse sequence.', 'Title: Cardiac magnetic resonance T1 mapping of left atrial myocardium.', 'Title: Advanced Cardiac MR Imaging for Myocardial Characterization and Quantification: T1 Mapping.', 'Title: Native myocardial T1 mapping by cardiovascular magnetic resonance imaging in subclinical cardiomyopathy in patients with systemic lupus erythematosus.', 'Title: [T1 and T2 mapping: new perspectives in cardiac magnetic resonance imaging].']"
Which hormone abnormalities are characteristic to Pendred syndrome?,"['23235354', '22116361', '22109890', '21511235', '20834201', '20822748', '20583162', '20501687', '20298745', '19692489', '19318451', '19205523', '19196800', '19189692', '18692402', '17697873', '17365057', '17120770', '16263499', '15863666', '15807875', '15279074', '11375792', '10650967', '9618167', '8706311', '7852510', '21745434', '8630497', '10700480', '7492068', '17322586', '18538122', '1159063', '10571950', '15355436', '10637573']",factoid,53148a07dae131f847000002,[['thyroid']],"['Thyroid hormone abnormalities are characteristic to Pendred syndrome. Hypothyroidism is the most common thyroid hormone abnormality in Pendred syndrome. Pendred syndrome  is an autosomal recessive disorder characterized by sensorineural deafness, goiter and a partial defect in iodide organification.']","['20298745', '21511235', '18692402', '24015757', '23970761']","['20298745#0', '21511235#1', '18692402#2', '24015757#3', '23970761#4']",[['thyroid hormone']],"Pendred syndrome is characterized by thyroid hormone abnormalities. Specifically, individuals with Pendred syndrome often exhibit reduced levels of thyroid hormone. The disorder is associated with mutations in the *PDX1* gene, which plays a crucial role in the synthesis and transport of thyroid hormones. Further research has explored the link between thyroid hormone, thyromimetics, and metabolic efficiency in this syndrome.","```json
{
""exact_answer"": ""thyroid hormone"",
""ideal_answer"": ""Pendred syndrome is characterized by thyroid hormone abnormalities. Specifically, individuals with Pendred syndrome often exhibit reduced levels of thyroid hormone. The disorder is associated with mutations in the *PDX1* gene, which plays a crucial role in the synthesis and transport of thyroid hormones. Further research has explored the link between thyroid hormone, thyromimetics, and metabolic efficiency in this syndrome.""
}
```","[{'doc_id': '20298745#0', 'pmid': '20298745', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '21511235#1', 'pmid': '21511235', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '18692402#2', 'pmid': '18692402', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '24015757#3', 'pmid': '24015757', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '23970761#4', 'pmid': '23970761', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}]",0.0,0.0,"['Title: Genetics and phenomics of Pendred syndrome.', 'Title: Clinical and molecular characteristics of Pendred syndrome.', 'Title: Pendred syndrome and iodide transport in the thyroid.', 'Title: Netherton syndrome associated with growth hormone deficiency.', 'Title: Thyroid hormone, thyromimetics, and metabolic efficiency.']"
What is an approximate number of CTCF binding sites in the human genome?,"['23707059', '22955980', '22829947', '22709888', '15670593', '15229244', '11854173', '11076856', '8034708']",factoid,533c38b3c45e133714000009,"[['30,000-50,000']]","['The number of CTCF binding sites in the human genome lies between 31,000 and 50,000.']","['22829947', '19073165', '23740743', '15368356', '17951291']","['22829947#0', '19073165#1', '23740743#2', '15368356#3', '17951291#4']",[],"The study comprehensively identified and annotated cell type-specific and ubiquitous CTCF-binding sites in the human genome. However, the exact number of CTCF binding sites remains an active area of research and the document does not provide a specific numerical count.","```json
{
""exact_answer"": """",
""ideal_answer"": ""The study comprehensively identified and annotated cell type-specific and ubiquitous CTCF-binding sites in the human genome. However, the exact number of CTCF binding sites remains an active area of research and the document does not provide a specific numerical count.""
}
```","[{'doc_id': '22829947#0', 'pmid': '22829947', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '19073165#1', 'pmid': '19073165', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '23740743#2', 'pmid': '23740743', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '15368356#3', 'pmid': '15368356', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '17951291#4', 'pmid': '17951291', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}]",0.0,0.0,"['Title: Comprehensive identification and annotation of cell type-specific and ubiquitous CTCF-binding sites in the human genome.', 'Title: Systematic human/zebrafish comparative identification of cis-regulatory activity around vertebrate developmental transcription factor genes.', 'Title: Alternative polyadenylation sites reveal distinct chromatin accessibility and histone modification in human cell lines.', 'Title: Histone modification in constitutive heterochromatin versus unexpressed euchromatin in human cells.', 'Title: Metabolomics identifies perturbations in human disorders of propionate metabolism.']"
What is an acceptable sequence coverage(depth) required for human whole-exome sequencing?,"['24065236', '23940558', '23728943', '23647072', '23450047', '23357921', '23349227', '23272691', '23015295', '22952768', '22654895', '22156295', '22038007', '21943378', '21499249', '24290377', '23160641', '21654732']",factoid,533c390bc45e13371400000b,[['30x-60x']],['A medium depth may be considered as 8x while the most common values vary between 30x and 60x. Values more than 75x or even up to 125x may be considered for the investigation of rare disease variants.'],"['12953060', '19073165', '22829947', '8663349', '22020387']","['12953060#0', '19073165#1', '22829947#2', '8663349#3', '22020387#4']",[],"The document does not contain information about acceptable sequence coverage (depth) required for human whole-exome sequencing. It discusses topics such as epigenetic assembly, comparative identification of cis-regulatory activity, CTCF binding sites, and interaction between nuclear envelope proteins and chromodomain proteins, as well as efficient resequencing methods.","```json
{
  ""exact_answer"": """",
  ""ideal_answer"": ""The document does not contain information about acceptable sequence coverage (depth) required for human whole-exome sequencing. It discusses topics such as epigenetic assembly, comparative identification of cis-regulatory activity, CTCF binding sites, and interaction between nuclear envelope proteins and chromodomain proteins, as well as efficient resequencing methods.""
}
```","[{'doc_id': '12953060#0', 'pmid': '12953060', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '19073165#1', 'pmid': '19073165', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '22829947#2', 'pmid': '22829947', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '8663349#3', 'pmid': '8663349', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '22020387#4', 'pmid': '22020387', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}]",0.0,0.0,"['Title: Epigenetic assembly of centromeric chromatin at ectopic alpha-satellite sites on human chromosomes.', 'Title: Systematic human/zebrafish comparative identification of cis-regulatory activity around vertebrate developmental transcription factor genes.', 'Title: Comprehensive identification and annotation of cell type-specific and ubiquitous CTCF-binding sites in the human genome.', 'Title: Interaction between an integral protein of the nuclear envelope inner membrane and human chromodomain proteins homologous to Drosophila HP1.', 'Title: Efficient targeted resequencing of human germline and cancer genomes by oligonucleotide-selective sequencing.']"
Are most driver gene mutations synonymous or non-synonymous?,"['24147068', '23935863', '23819581', '23799614', '23704925', '23694700', '23450047', '23015295', '22893128', '22649506', '22072984', '19633228', '15946860']",factoid,534427f8aeec6fbd07000009,[['non-synonymous']],"['A common goal of tumor sequencing projects is finding genes whose mutations are selected for during tumor development. This is accomplished by choosing genes that have more non-synonymous mutations than expected from an estimated background mutation frequency.', 'A common goal of tumor sequencing projects is finding genes whose mutations are selected for during tumor development. This is accomplished by choosing genes that have more non-synonymous mutations than expected from an estimated background mutation frequency.  ', 'A common goal of tumor sequencing projects is finding genes whose mutations are selected for during tumor development. This is accomplished by choosing genes that have more non-synonymous mutations than expected from an estimated background mutation frequency.  ', 'A common goal of tumor sequencing projects is finding genes whose mutations are selected for during tumor development. This is accomplished by choosing genes that have more non-synonymous mutations than expected from an estimated background mutation frequency.  ', 'A common goal of tumor sequencing projects is finding genes whose mutations are selected for during tumor development. This is accomplished by choosing genes that have more non-synonymous mutations than expected from an estimated background mutation frequency.  ']","['23728943', '14501624', '3280983', '22493255', '23564176']","['23728943#0', '14501624#1', '3280983#2', '22493255#3', '23564176#4']",[],The document does not provide information about whether most driver gene mutations are synonymous or non-synonymous.,"```json
{
""exact_answer"": """",
""ideal_answer"": ""The document does not provide information about whether most driver gene mutations are synonymous or non-synonymous.""
}
```","[{'doc_id': '23728943#0', 'pmid': '23728943', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '14501624#1', 'pmid': '14501624', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '3280983#2', 'pmid': '3280983', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '22493255#3', 'pmid': '22493255', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '23564176#4', 'pmid': '23564176', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}]",0.0,0.0,"['Title: Identification of driver genes in hepatocellular carcinoma by exome sequencing.', 'Title: Irritable bowel syndrome or endometriosis, or both?', 'Title: Methyl-directed DNA mismatch repair in Escherichia coli.', 'Title: Using translational enhancers to increase transgene expression in Drosophila.', 'Title: Endogenous mutagenesis in recombinant sulfolobus plasmids.']"
What is the major adverse effect of adriamycin(doxorubicin)?,"['21295102', '15997091', '15114698', '12445862', '12074691', '3461747', '3459397', '3947104', '7325994']",factoid,53551206a0726bee57000001,"[['Cardiotoxicity', 'Cardiac toxicity']]","['Cardiac toxicity is a major adverse effect caused by doxorubicin (DOX) therapy. In spite of the routine use of this drug its major adverse effect, the dose-dependent cardiotoxicity, cannot be prevented yet. Cardiotoxicity is a major adverse effect of the anthracycline antibiotics and can be acute or chronic.', 'Cardiac toxicity is a major adverse effect caused by doxorubicin (DOX) therapy  ', 'Cardiac toxicity is a major adverse effect caused by doxorubicin (DOX) therapy  ', 'Cardiac toxicity is a major adverse effect caused by doxorubicin (DOX) therapy  ', 'Cardiac toxicity is a major adverse effect caused by doxorubicin (DOX) therapy  ', 'Cardiac toxicity is a major adverse effect caused by doxorubicin (DOX) therapy  ']","['22506132', '22519766', '21556312', '21314842', '21294676']","['22506132#0', '22519766#1', '21556312#2', '21314842#3', '21294676#4']",[],The provided documents do not contain information about the major adverse effects of adriamycin (doxorubicin).,"```json
{
  ""exact_answer"": """",
  ""ideal_answer"": ""The provided documents do not contain information about the major adverse effects of adriamycin (doxorubicin).""
}
```","[{'doc_id': '22506132#0', 'pmid': '22506132', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '22519766#1', 'pmid': '22519766', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '21556312#2', 'pmid': '21556312', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '21314842#3', 'pmid': '21314842', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '21294676#4', 'pmid': '21294676', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}]",0.0,0.0,"['evidence for and against the amyloid cascade hypothesis in AD and provides suggestions for future directions.', 'Title: Tyrosine kinase inhibitors in acute and chronic leukemias.', 'Title: Pleiotropic effects of the HMG-CoA reductase inhibitors.', 'Title: Adenovirus-mediated overexpression of cardiac troponin I-interacting kinase promotes cardiomyocyte hypertrophy.', 'Title: Helicobacter pylori-induced tyrosine phosphorylation of IKKβ contributes to NF-κB activation.']"
Which is the branch site consensus sequence in U12-dependent introns?,['18824513'],factoid,5357a6d0f1005d6b58000004,[['UUCCUUAAC']],['The branch site consensus sequence in U12-dependent introns is UUCCUUAAC.'],"['20723759', '9725240', '19340878', '11247893', '18577829']","['20723759#0', '9725240#1', '19340878#2', '11247893#3', '18577829#4']",[],,"```json
{
  ""exact_answer"": """",
  ""ideal_answer"": """"
}
```","[{'doc_id': '20723759#0', 'pmid': '20723759', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '9725240#1', 'pmid': '9725240', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '19340878#2', 'pmid': '19340878', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '11247893#3', 'pmid': '11247893', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '18577829#4', 'pmid': '18577829', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}]",0.0,0.0,"['and implicate the ATG12 conjugation system in cellular functions distinct from the early steps of autophagosome formation.', 'Title: CpG DNA induces sustained IL-12 expression in vivo and resistance to Listeria monocytogenes challenge.', 'Title: A novel locus for adolescent idiopathic scoliosis on chromosome 12p.', 'Title: Parallel expression of macrophage metalloelastase (MMP-12) in duodenal and skin lesions of patients with dermatitis herpetiformis.', 'Title: Coexisting polymorphisms of P2Y12 and CYP2C19 genes as a risk factor for persistent platelet activation with clopidogrel.']"
